3    0    -9    
3    0    -10    
3    0    -9    
3    1    -9    
3    2    -9    
3    2    -8    
3    2    -7    
2    2    -7    
2    3    -7    
3    3    -7    
3    2    -7    
3    3    -7    
2    3    -7    
1    3    -7    
1    3    -6    
0    3    -6    
0    3    -7    
0    4    -7    
0    3    -7    
0    4    -7    
1    4    -7    
1    5    -7    
2    5    -7    
2    6    -7    
3    6    -7    
3    6    -8    
4    6    -8    
4    5    -8    
5    5    -8    
6    5    -8    
7    5    -8    
7    5    -9    
7    6    -9    
6    6    -9    
6    6    -8    
6    7    -8    
6    7    -7    
6    7    -6    
6    6    -6    
6    6    -5    
6    5    -5    
6    4    -5    
6    4    -4    
6    5    -4    
6    5    -3    
7    5    -3    
7    5    -4    
8    5    -4    
8    4    -4    
9    4    -4    
8    4    -4    
9    4    -4    
9    4    -5    
9    3    -5    
9    3    -6    
8    3    -6    
8    3    -7    
8    2    -7    
8    2    -8    
8    1    -8    
8    0    -8    
9    0    -8    
8    0    -8    
9    0    -8    
10    0    -8    
10    0    -9    
11    0    -9    
11    0    -8    
11    0    -9    
11    -1    -9    
12    -1    -9    
12    -2    -9    
12    -3    -9    
12    -3    -10    
12    -3    -11    
12    -3    -12    
11    -3    -12    
11    -3    -13    
12    -3    -13    
11    -3    -13    
11    -4    -13    
11    -4    -14    
11    -4    -15    
12    -4    -15    
11    -4    -15    
11    -3    -15    
11    -3    -16    
10    -3    -16    
10    -3    -15    
9    -3    -15    
9    -4    -15    
9    -3    -15    
8    -3    -15    
8    -3    -14    
8    -3    -15    
8    -3    -14    
8    -3    -13    
9    -3    -13    
9    -2    -13    
9    -3    -13    
9    -3    -12    
9    -4    -12    
8    -4    -12    
8    -3    -12    
8    -4    -12    
7    -4    -12    
6    -4    -12    
6    -3    -12    
7    -3    -12    
8    -3    -12    
8    -4    -12    
8    -3    -12    
8    -4    -12    
8    -4    -13    
8    -3    -13    
7    -3    -13    
8    -3    -13    
7    -3    -13    
8    -3    -13    
9    -3    -13    
9    -2    -13    
8    -2    -13    
8    -2    -14    
8    -2    -15    
7    -2    -15    
7    -3    -15    
6    -3    -15    
5    -3    -15    
4    -3    -15    
3    -3    -15    
3    -3    -16    
3    -3    -15    
4    -3    -15    
4    -2    -15    
5    -2    -15    
5    -2    -16    
5    -3    -16    
6    -3    -16    
5    -3    -16    
6    -3    -16    
6    -3    -17    
6    -2    -17    
7    -2    -17    
7    -1    -17    
8    -1    -17    
8    -1    -18    
7    -1    -18    
8    -1    -18    
8    -2    -18    
8    -3    -18    
9    -3    -18    
9    -3    -17    
9    -2    -17    
9    -2    -16    
9    -2    -17    
9    -1    -17    
10    -1    -17    
9    -1    -17    
8    -1    -17    
8    -2    -17    
8    -2    -18    
8    -2    -17    
8    -3    -17    
8    -3    -18    
8    -2    -18    
8    -2    -17    
8    -1    -17    
8    0    -17    
7    0    -17    
7    0    -16    
7    0    -15    
8    0    -15    
8    -1    -15    
7    -1    -15    
7    -1    -16    
7    -1    -15    
8    -1    -15    
8    -1    -16    
8    -1    -17    
8    -1    -18    
8    -1    -17    
8    -1    -16    
9    -1    -16    
9    0    -16    
9    -1    -16    
9    -2    -16    
9    -3    -16    
9    -3    -15    
10    -3    -15    
10    -3    -16    
10    -4    -16    
10    -4    -17    
10    -5    -17    
10    -4    -17    
10    -4    -16    
10    -4    -17    
10    -3    -17    
11    -3    -17    
11    -3    -16    
11    -4    -16    
11    -4    -15    
10    -4    -15    
10    -4    -14    
10    -4    -15    
10    -4    -14    
10    -3    -14    
10    -3    -13    
10    -2    -13    
11    -2    -13    
11    -3    -13    
12    -3    -13    
12    -3    -12    
12    -3    -11    
13    -3    -11    
12    -3    -11    
12    -4    -11    
12    -3    -11    
11    -3    -11    
11    -3    -10    
11    -2    -10    
12    -2    -10    
12    -2    -9    
13    -2    -9    
14    -2    -9    
14    -2    -10    
15    -2    -10    
15    -1    -10    
15    -1    -9    
15    -1    -8    
16    -1    -8    
16    -1    -7    
16    -2    -7    
16    -2    -6    
16    -2    -7    
16    -1    -7    
15    -1    -7    
15    -1    -8    
15    0    -8    
14    0    -8    
15    0    -8    
14    0    -8    
14    -1    -8    
14    -1    -7    
14    -2    -7    
14    -3    -7    
13    -3    -7    
12    -3    -7    
12    -3    -6    
12    -3    -5    
12    -4    -5    
12    -3    -5    
12    -3    -4    
12    -4    -4    
12    -5    -4    
12    -5    -5    
12    -5    -4    
13    -5    -4    
13    -5    -3    
14    -5    -3    
14    -5    -4    
13    -5    -4    
13    -4    -4    
12    -4    -4    
12    -3    -4    
11    -3    -4    
10    -3    -4    
10    -3    -5    
10    -3    -4    
9    -3    -4    
10    -3    -4    
10    -3    -3    
10    -3    -2    
11    -3    -2    
11    -3    -1    
10    -3    -1    
10    -4    -1    
10    -4    -2    
10    -4    -1    
10    -4    -2    
10    -4    -3    
9    -4    -3    
10    -4    -3    
10    -4    -4    
10    -4    -5    
9    -4    -5    
9    -4    -6    
9    -4    -5    
8    -4    -5    
8    -3    -5    
8    -4    -5    
8    -5    -5    
9    -5    -5    
9    -5    -4    
10    -5    -4    
10    -6    -4    
10    -6    -5    
10    -5    -5    
9    -5    -5    
8    -5    -5    
8    -6    -5    
8    -6    -4    
8    -6    -3    
8    -7    -3    
8    -8    -3    
7    -8    -3    
8    -8    -3    
7    -8    -3    
8    -8    -3    
8    -9    -3    
8    -9    -2    
8    -8    -2    
9    -8    -2    
10    -8    -2    
10    -9    -2    
10    -9    -3    
10    -9    -4    
10    -8    -4    
10    -8    -5    
9    -8    -5    
9    -8    -4    
9    -8    -3    
8    -8    -3    
8    -8    -2    
8    -7    -2    
8    -7    -3    
7    -7    -3    
7    -8    -3    
8    -8    -3    
9    -8    -3    
10    -8    -3    
11    -8    -3    
11    -8    -4    
11    -7    -4    
11    -6    -4    
10    -6    -4    
11    -6    -4    
11    -5    -4    
10    -5    -4    
11    -5    -4    
11    -5    -5    
10    -5    -5    
10    -5    -6    
11    -5    -6    
11    -6    -6    
12    -6    -6    
12    -5    -6    
12    -5    -5    
12    -6    -5    
12    -7    -5    
